name,uniform_load,bulk_load,is_point_load
BGH_CBL_DET_GirderStart_W1000, 60, 0, 0 
BGH_CBL2_DET_GirderStart_W1000, 60, 0, 0 
BGH_CBL2_DET_GirderNone_W1000, 60, 0, 0 
BGH_CBL_DET_DriveStation_T1_W1000, 0, 150, 0
BGH_CBL2_DET_DriveStation_T1_W1000, 0, 150, 0
BGH_CBL_DET_DriveStation_T2_W1000, 0, 240, 0
BGH_CBL2_DET_DriveStation_T2_W1000, 0, 240, 0
BGH_CBL_DET_DriveStation_T3_W1000, 60, 168, 0
BGH_CBL2_DET_DriveStation_T3_W1000, 60, 168, 0
BGH_CBL_DET_DriveStation_T10_W1000, 0, 200, 0
BGH_CBL2_DET_DriveStation_T10_W1000, 0, 200, 0
BGH_CBL_DET_DriveStation_T11_W1000, 0, 85 , 0
BGH_CBL2_DET_DriveStation_T11_W1000, 0, 85 , 0
BGH_CBL2_DET_DriveStation_T14_W1000, 0, 200, 0
BGH_CBL2_DET_DriveStation_T15_W1000, 0, 200, 0
BGH_CBL_DET_TailStation_W1000, 0, 90 , 0
BGH_CBL2_DET_TailStation_W1000, 0, 90 , 0
BGH_CBL_DET_HeadStation_W1000, 0, 90 , 0
BGH_CBL2_DET_HeadStation_W1000, 0, 90 , 0
BGH_CBL_DET_DriveStation_T21_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T21_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T21S_W1000, 0, 320, 0
BGH_CBL_DET_DriveStation_T22_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T22_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T22S_W1000, 0, 320, 0
BGH_CBL_DET_DriveStation_T23_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T23_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T23S_W1000, 0, 320, 0
BGH_CBL_DET_DriveStation_T31_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T31_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T31S_W1000, 0, 320, 0
BGH_CBL_DET_DriveStation_T32_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T32_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T32S_W1000, 0, 320, 0
BGH_CBL_DET_DriveStation_T33_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T33_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T33S_W1000, 0, 320, 0
BGH_CBL_DET_DriveStation_T41_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T41_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T41S_W1000, 0, 320, 0
BGH_CBL_DET_DriveStation_T51_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T51_W1000, 0, 320, 0
BGH_CBL2_DET_DriveStation_T51S_W1000, 0, 320, 0
BGH_CBL_DET_Bentsection_W1000_R2997, 0, 135, 1
BGH_CBL2_DET_Bentsection_W1000_R2997, 0, 135, 1
BGH_CBL_DET_Bentsection_W1000_R1497, 0, 120, 1
BGH_CBL2_DET_Bentsection_W1000_R1497, 0, 120, 1
BGH_CON_DET_Motor, 0, 30, 1
